Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Destination Station,Destination Station Name
1011,CSMT-NGP SF,1,CSMT,CST-MUMBAI,00:20:00,00:20:00,0,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,2,DR,DADAR,00:37:00,00:40:00,8,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,3,TNA,THANE,01:07:00,01:10:00,33,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,4,KYN,KALYAN JN,01:32:00,01:35:00,53,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,5,IGP,IGATPURI,03:40:00,03:45:00,136,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,6,NK,NASIK ROAD,04:27:00,04:30:00,187,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,7,MMR,MANMAD JN.,05:27:00,05:30:00,260,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,8,JL,JALGAON JN.,07:08:00,07:10:00,419,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,9,BSL,BHUSAVAL JN.,07:35:00,07:45:00,444,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,10,MKU,MALKAPUR,08:18:00,08:20:00,499,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,11,SEG,SHEGAON,08:58:00,09:00:00,551,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,12,AK,AKOLA JN.,09:25:00,09:28:00,588,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,13,MZR,MURTAJAPUR J,10:02:00,10:05:00,626,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,14,BD,BADNERA JN.,11:02:00,11:05:00,667,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,15,DMN,DHAMANGAON,11:41:00,11:42:00,713,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,16,PLO,PULGAON JN.,11:58:00,11:59:00,733,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,17,WR,WARDHA JN.,12:32:00,12:35:00,762,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,18,NGP,NAGPUR JN.(C,14:20:00,14:20:00,841,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1122,KRMI-CSMT SP,1,KRMI,KARMALI,22:30:00,22:30:00,0,KRMI,KARMALI,CSMT,CST-MUMBAI
1122,KRMI-CSMT SP,2,THVM,THIVIM,22:44:00,22:46:00,17,KRMI,KARMALI,CSMT,CST-MUMBAI
1122,KRMI-CSMT SP,3,SWV,SAWANTWADI R,23:18:00,23:20:00,49,KRMI,KARMALI,CSMT,CST-MUMBAI
1122,KRMI-CSMT SP,4,KUDL,KUDAL,23:38:00,23:40:00,70,KRMI,KARMALI,CSMT,CST-MUMBAI
1122,KRMI-CSMT SP,5,KKW,KANKAVALI,00:10:00,00:12:00,98,KRMI,KARMALI,CSMT,CST-MUMBAI
1122,KRMI-CSMT SP,6,RN,RATNAGIRI,01:55:00,02:00:00,210,KRMI,KARMALI,CSMT,CST-MUMBAI
1122,KRMI-CSMT SP,7,SGR,SANGMESHWAR,02:32:00,02:34:00,246,KRMI,KARMALI,CSMT,CST-MUMBAI
1122,KRMI-CSMT SP,8,CHI,CHIPLUN,03:14:00,03:16:00,288,KRMI,KARMALI,CSMT,CST-MUMBAI
1122,KRMI-CSMT SP,9,KHED,KHED,03:38:00,03:40:00,318,KRMI,KARMALI,CSMT,CST-MUMBAI
1122,KRMI-CSMT SP,10,ROHA,ROHA,06:40:00,06:45:00,421,KRMI,KARMALI,CSMT,CST-MUMBAI
1122,KRMI-CSMT SP,11,PNVL,PANVEL,07:55:00,08:00:00,498,KRMI,KARMALI,CSMT,CST-MUMBAI
1122,KRMI-CSMT SP,12,TNA,THANE,09:28:00,09:30:00,536,KRMI,KARMALI,CSMT,CST-MUMBAI
1122,KRMI-CSMT SP,13,DR,DADAR,10:10:00,10:13:00,560,KRMI,KARMALI,CSMT,CST-MUMBAI
1122,KRMI-CSMT SP,14,CSMT,CST-MUMBAI,10:30:00,10:30:00,569,KRMI,KARMALI,CSMT,CST-MUMBAI
2025,CSMT-KRMI SF,1,CSMT,CST-MUMBAI,05:00:00,05:00:00,0,CSMT,CST-MUMBAI,KRMI,KARMALI
2025,CSMT-KRMI SF,2,DR,DADAR,05:08:00,05:10:00,8,CSMT,CST-MUMBAI,KRMI,KARMALI
2025,CSMT-KRMI SF,3,TNA,THANE,05:33:00,05:35:00,33,CSMT,CST-MUMBAI,KRMI,KARMALI
2025,CSMT-KRMI SF,4,PNVL,PANVEL,06:13:00,06:15:00,70,CSMT,CST-MUMBAI,KRMI,KARMALI
2025,CSMT-KRMI SF,5,RN,RATNAGIRI,10:15:00,10:20:00,356,CSMT,CST-MUMBAI,KRMI,KARMALI
2025,CSMT-KRMI SF,6,KUDL,KUDAL,12:04:00,12:06:00,508,CSMT,CST-MUMBAI,KRMI,KARMALI
2025,CSMT-KRMI SF,7,KRMI,KARMALI,13:20:00,13:20:00,579,CSMT,CST-MUMBAI,KRMI,KARMALI
2026,KRMI-CSMT SF,1,KRMI,KARMALI,14:30:00,14:30:00,0,KRMI,KARMALI,CSMT,CST-MUMBAI
2026,KRMI-CSMT SF,2,KUDL,KUDAL,15:26:00,15:28:00,70,KRMI,KARMALI,CSMT,CST-MUMBAI
2026,KRMI-CSMT SF,3,RN,RATNAGIRI,17:15:00,17:20:00,210,KRMI,KARMALI,CSMT,CST-MUMBAI
2026,KRMI-CSMT SF,4,PNVL,PANVEL,21:33:00,21:35:00,498,KRMI,KARMALI,CSMT,CST-MUMBAI
2026,KRMI-CSMT SF,5,TNA,THANE,22:17:00,22:19:00,536,KRMI,KARMALI,CSMT,CST-MUMBAI
2026,KRMI-CSMT SF,6,DR,DADAR,22:38:00,22:40:00,560,KRMI,KARMALI,CSMT,CST-MUMBAI
2026,KRMI-CSMT SF,7,CSMT,CST-MUMBAI,23:00:00,23:00:00,569,KRMI,KARMALI,CSMT,CST-MUMBAI
10103,MANDOVI EXPR,1,CSMT,CST-MUMBAI,07:10:00,07:10:00,0,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10103,MANDOVI EXPR,2,DR,DADAR,07:22:00,07:25:00,8,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10103,MANDOVI EXPR,3,TNA,THANE,07:46:00,07:50:00,33,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10103,MANDOVI EXPR,4,PNVL,PANVEL,08:25:00,08:30:00,70,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10103,MANDOVI EXPR,5,MNI,MANGAON,10:34:00,10:35:00,177,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10103,MANDOVI EXPR,6,KHED,KHED,11:26:00,11:27:00,245,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10103,MANDOVI EXPR,7,CHI,CHIPLUN,11:58:00,11:59:00,275,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10103,MANDOVI EXPR,8,SGR,SANGMESHWAR,12:35:00,12:36:00,317,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10103,MANDOVI EXPR,9,RN,RATNAGIRI,13:15:00,13:20:00,351,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10103,MANDOVI EXPR,10,ADVI,ADAVALI,13:54:00,13:55:00,382,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10103,MANDOVI EXPR,11,RAJP,RAJAPUR ROAD,14:30:00,14:31:00,414,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10103,MANDOVI EXPR,12,VBW,VAIBHAVWADI,14:46:00,14:47:00,431,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10103,MANDOVI EXPR,13,KKW,KANKAVALI,15:19:00,15:20:00,462,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10103,MANDOVI EXPR,14,SNDD,SINDHU DURG,15:40:00,15:41:00,480,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10103,MANDOVI EXPR,15,KUDL,KUDAL,15:54:00,15:55:00,490,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10103,MANDOVI EXPR,16,SWV,SAWANTWADI R,16:15:00,16:16:00,511,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10103,MANDOVI EXPR,17,PERN,PERNEM,16:41:00,16:42:00,533,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10103,MANDOVI EXPR,18,THVM,THIVIM,16:54:00,16:55:00,544,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10103,MANDOVI EXPR,19,KRMI,KARMALI,17:13:00,17:14:00,561,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10103,MANDOVI EXPR,20,MAO,MADGOAN JN.,18:45:00,18:45:00,590,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10104,MANDOVI EXPR,1,MAO,MADGOAN JN.,09:15:00,09:15:00,0,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10104,MANDOVI EXPR,2,KRMI,KARMALI,09:47:00,09:48:00,30,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10104,MANDOVI EXPR,3,THVM,THIVIM,10:07:00,10:08:00,47,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10104,MANDOVI EXPR,4,PERN,PERNEM,10:21:00,10:22:00,58,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10104,MANDOVI EXPR,5,SWV,SAWANTWADI R,10:41:00,10:42:00,80,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10104,MANDOVI EXPR,6,KUDL,KUDAL,11:03:00,11:04:00,101,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10104,MANDOVI EXPR,7,SNDD,SINDHU DURG,11:16:00,11:17:00,111,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10104,MANDOVI EXPR,8,KKW,KANKAVALI,11:34:00,11:35:00,129,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10104,MANDOVI EXPR,9,VBW,VAIBHAVWADI,12:07:00,12:08:00,160,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10104,MANDOVI EXPR,10,RAJP,RAJAPUR ROAD,12:24:00,12:25:00,176,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10104,MANDOVI EXPR,11,ADVI,ADAVALI,12:50:00,12:51:00,208,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10104,MANDOVI EXPR,12,RN,RATNAGIRI,13:30:00,13:35:00,240,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10104,MANDOVI EXPR,13,SGR,SANGMESHWAR,14:46:00,14:47:00,276,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10104,MANDOVI EXPR,14,CHI,CHIPLUN,15:27:00,15:28:00,318,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10104,MANDOVI EXPR,15,KHED,KHED,15:56:00,15:57:00,348,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10104,MANDOVI EXPR,16,MNI,MANGAON,17:09:00,17:10:00,416,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10104,MANDOVI EXPR,17,PNVL,PANVEL,19:25:00,19:30:00,523,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10104,MANDOVI EXPR,18,TNA,THANE,20:37:00,20:40:00,561,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10104,MANDOVI EXPR,19,DR,DADAR,21:02:00,21:05:00,585,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10104,MANDOVI EXPR,20,CSMT,CST-MUMBAI,21:40:00,21:40:00,594,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10111,KONKAN KANYA,1,CSMT,CST-MUMBAI,23:05:00,23:05:00,0,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10111,KONKAN KANYA,2,DR,DADAR,23:17:00,23:20:00,8,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10111,KONKAN KANYA,3,TNA,THANE,23:40:00,23:45:00,33,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10111,KONKAN KANYA,4,PNVL,PANVEL,00:25:00,00:30:00,70,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10111,KONKAN KANYA,5,MNI,MANGAON,02:38:00,02:39:00,177,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10111,KONKAN KANYA,6,KHED,KHED,03:38:00,03:39:00,245,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10111,KONKAN KANYA,7,CHI,CHIPLUN,04:04:00,04:05:00,275,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10111,KONKAN KANYA,8,SGR,SANGMESHWAR,04:50:00,04:51:00,317,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10111,KONKAN KANYA,9,RN,RATNAGIRI,05:25:00,05:30:00,351,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10111,KONKAN KANYA,10,VID,VILAVADE,06:09:00,06:10:00,398,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10111,KONKAN KANYA,11,RAJP,RAJAPUR ROAD,06:25:00,06:26:00,414,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10111,KONKAN KANYA,12,VBW,VAIBHAVWADI,06:51:00,06:52:00,431,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10111,KONKAN KANYA,13,KKW,KANKAVALI,07:21:00,07:22:00,462,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10111,KONKAN KANYA,14,SNDD,SINDHU DURG,07:37:00,07:38:00,480,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10111,KONKAN KANYA,15,KUDL,KUDAL,07:54:00,07:55:00,490,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10111,KONKAN KANYA,16,SWV,SAWANTWADI R,08:22:00,08:23:00,511,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10111,KONKAN KANYA,17,PERN,PERNEM,08:52:00,08:53:00,533,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10111,KONKAN KANYA,18,THVM,THIVIM,09:06:00,09:07:00,544,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10111,KONKAN KANYA,19,KRMI,KARMALI,09:27:00,09:28:00,561,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10111,KONKAN KANYA,20,MAO,MADGOAN JN.,10:45:00,10:45:00,590,CSMT,CST-MUMBAI,MAO,MADGOAN JN.
10112,KONKAN KANYA,1,MAO,MADGOAN JN.,18:00:00,18:00:00,0,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10112,KONKAN KANYA,2,KRMI,KARMALI,18:31:00,18:32:00,30,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10112,KONKAN KANYA,3,THVM,THIVIM,18:54:00,18:55:00,47,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10112,KONKAN KANYA,4,PERN,PERNEM,19:10:00,19:11:00,58,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10112,KONKAN KANYA,5,SWV,SAWANTWADI R,19:36:00,19:37:00,80,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10112,KONKAN KANYA,6,KUDL,KUDAL,20:09:00,20:10:00,101,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10112,KONKAN KANYA,7,SNDD,SINDHU DURG,20:29:00,20:30:00,111,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10112,KONKAN KANYA,8,KKW,KANKAVALI,21:09:00,21:10:00,129,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10112,KONKAN KANYA,9,VBW,VAIBHAVWADI,21:39:00,21:40:00,160,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10112,KONKAN KANYA,10,RAJP,RAJAPUR ROAD,21:53:00,21:54:00,176,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10112,KONKAN KANYA,11,VID,VILAVADE,22:10:00,22:11:00,193,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10112,KONKAN KANYA,12,RN,RATNAGIRI,23:00:00,23:05:00,240,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10112,KONKAN KANYA,13,SGR,SANGMESHWAR,23:47:00,23:48:00,276,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10112,KONKAN KANYA,14,CHI,CHIPLUN,00:31:00,00:32:00,318,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10112,KONKAN KANYA,15,KHED,KHED,01:01:00,01:02:00,348,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10112,KONKAN KANYA,16,MNI,MANGAON,02:12:00,02:14:00,416,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10112,KONKAN KANYA,17,PNVL,PANVEL,04:05:00,04:10:00,523,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10112,KONKAN KANYA,18,TNA,THANE,04:52:00,04:55:00,561,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
10112,KONKAN KANYA,19,DR,DADAR,05:17:00,05:20:00,585,MAO,MADGOAN JN.,CSMT,CST-MUMBAI
